,LR,DT,KNN,RF,SVM
Acurácia,0.789,0.786,0.740,0.771,0.768
Precisão,0.580,0.580,0.506,0.549,0.544
Recall,0.747,0.704,0.786,0.756,0.775
F1-Score,0.653,0.636,0.616,0.636,0.639
F2.-Score,0.706,0.676,0.708,0.703,0.714
AUROC,0.858,0.837,0.841,0.852,0.846
AUPR,0.679,0.665,0.632,0.676,0.665
